country,continent,population,Cases,Recovered,Deaths,Tests,year,month,day_of_month,hour
178,0,6115.0,2166,2.0,2570.0,2226216.0,2024,6,30,16
73,6,3539.0,1930,1930.0,2570.0,8632.0,2024,6,30,16
143,4,4965.0,1403,1376.0,8.0,17762.0,2024,6,30,16
59,0,5797805.0,712,699.0,13.0,2226216.0,2024,6,30,16
230,3,799.0,29,29.0,2570.0,2226216.0,2024,6,30,16
234,0,626161.0,10,9.0,1.0,2226216.0,2024,6,30,16
124,0,5797805.0,9,7.0,2.0,2226216.0,2024,6,30,16
45,2,1448471400.0,503302,379053.0,5272.0,160000000.0,2024,6,30,16
215,5,1378.0,80,235145.5,2570.0,2226216.0,2024,6,30,16
182,4,5759.0,3452,2449.0,2.0,25400.0,2024,6,30,16
221,5,12066.0,2943,235145.5,1.0,2226216.0,2024,6,30,16
156,5,1622.0,1059,1056.0,2570.0,2226216.0,2024,6,30,16
153,4,6779100.0,18491,4225.0,225.0,2226216.0,2024,6,30,16
210,2,9957464.0,17786,17264.0,125.0,2226216.0,2024,6,30,16
60,0,1016097.0,15690,15427.0,189.0,305941.0,2024,6,30,16
86,4,56973.0,11971,2761.0,21.0,164926.0,2024,6,30,16
67,0,3662244.0,10189,10086.0,103.0,23693.0,2024,6,30,16
154,0,26083660.0,9931,8890.0,312.0,254538.0,2024,6,30,16
66,0,1496662.0,17229,16907.0,183.0,365697.0,2024,6,30,16
119,0,5305117.0,8090,7783.0,295.0,139824.0,2024,6,30,16
148,5,10903.0,5393,5347.0,1.0,20509.0,2024,6,30,16
40,4,26647.0,11682,10476.0,38.0,30126.0,2024,6,30,16
24,4,61939.0,18860,18685.0,165.0,1029558.0,2024,6,30,16
80,0,2558482.0,12626,12189.0,372.0,155686.0,2024,6,30,16
87,4,113475.0,19693,19358.0,238.0,182981.0,2024,6,30,16
47,0,907419.0,9109,8939.0,161.0,2226216.0,2024,6,30,16
91,0,2063367.0,9614,8929.0,177.0,145231.0,2024,6,30,16
42,0,17413580.0,7701,4874.0,194.0,191341.0,2024,6,30,16
229,5,321832.0,12019,11976.0,14.0,24976.0,2024,6,30,16
192,4,43966.0,11051,10905.0,92.0,62056.0,2024,6,30,16
233,5,10982.0,3550,438.0,8.0,20508.0,2024,6,30,16
202,4,9945.0,5507,235145.5,6.0,78646.0,2024,6,30,16
179,4,53871.0,6607,6559.0,48.0,126958.0,2024,6,30,16
213,2,1369429.0,23460,23102.0,138.0,278529.0,2024,6,30,16
112,5,123419.0,5085,2703.0,24.0,2226216.0,2024,6,30,16
33,0,22102838.0,22114,21596.0,400.0,248995.0,2024,6,30,16
121,3,38387.0,21574,235145.5,94.0,112457.0,2024,6,30,16
84,3,33704.0,20550,235145.5,113.0,534283.0,2024,6,30,16
199,0,11618511.0,18819,18115.0,147.0,410280.0,2024,6,30,16
140,3,39783.0,17181,235145.5,67.0,78646.0,2024,6,30,16
183,5,202239.0,17006,1605.0,31.0,187397.0,2024,6,30,16
